一丁点儿 (yi,ding,dian,er)
一不小心 (yi,bu,xiao,xin)
一丘之貉 (yi,qiu,zhi,he)
一丝不差 (yi,si,bu,cha)
一丝不苟 (yi,si,bu,gou)
一个 (yi,ge)
一个半个 (yi,ge,ban,ge)
一个巴掌拍不响 (yi,ge,ba,zhang,pai,bu,xiang)
一个萝卜一个坑 (yi,ge,luo,bo,yi,ge,keng)
一举两得 (yi,ju,liang,de)
一之为甚 (yi,zhi,wei,shen)
一了 (yi,liao)
一了百了 (yi,liao,bai,liao)
一了百当 (yi,liao,bai,dang)
一事无成 (yi,shi,wu,cheng)
一五一十 (yi,wu,yi,shi)
一些 (yi,xie)
一些半些 (yi,xie,ban,xie)
一人做事一人当 (yi,ren,zuo,shi,yi,ren,dang)
一仆二主 (yi,pu,er,zhu)
一代 (yi,dai)
一代不如一代 (yi,dai,bu,ru,yi,dai)
一代楷模 (yi,dai,kai,mo)
一代风流 (yi,dai,feng,liu)
一令纸 (yi,ling,zhi)
一会 (yi,hui)
一会儿 (yi,hui,er)
一体两面 (yi,ti,liang,mian)
一倍 (yi,bei)
一倡百和 (yi,chang,bai,he)
一共 (yi,gong)
一出戏 (yi,chu,xi)
一刀两断 (yi,dao,liang,duan)
一分为二 (yi,fen,wei,er)
一分子 (yi,fen,zi)
一分钟 (yi,fen,zhong)
一切 (yi,qie)
一切万物 (yi,qie,wan,wu)
一动不动 (yi,dong,bu,dong)
一劳永逸 (yi,lao,yong,yi)
一匹 (yi,pi)
一匹马 (yi,pi,ma)
一半 (yi,ban)
一卷 (yi,juan)
一厢情愿 (yi,xiang,qing,yuan)
一去不复返 (yi,qu,bu,fu,fan)
一发 (yi,fa)
一发千钧 (yi,fa,qian,jun)
一口咬定 (yi,kou,yao,ding)
一口气 (yi,kou,qi)
一只 (yi,zhi)
一叶扁舟 (yi,ye,pian,zhou)
一吐为快 (yi,tu,wei,kuai)
一向 (yi,xiang)
一呼百应 (yi,hu,bai,ying)
一命呜呼 (yi,ming,wu,hu)
一哄而上 (yi,hong,er,shang)
一哄而散 (yi,hong,er,san)
一哄而起 (yi,hong,er,qi)
一哭二闹 (yi,ku,er,nao)
一唱一和 (yi,chang,yi,he)
一回儿 (yi,hui,er)
一场 (yi,chang)
一场春梦 (yi,chang,chun,meng)
一场梦 (yi,chang,meng)
一场空 (yi,chang,kong)
一场雨 (yi,chang,yu)
一块石头落了地 (yi,kuai,shi,tou,luo,le,di)
一块石头落地 (yi,kuai,shi,tou,luo,di)
一声不吭 (yi,sheng,bu,keng)
一声不响 (yi,sheng,bu,xiang)
一夕一朝 (yi,xi,yi,zhao)
一夕之间 (yi,xi,zhi,jian)
一夜情 (yi,ye,qing)
一夜走红 (yi,ye,zou,hong)
一大堆 (yi,da,dui)
一天星斗 (yi,tian,xing,dou)
一如既往 (yi,ru,ji,wang)
一定 (yi,ding)
一定不易 (yi,ding,bu,yi)
一定不移 (yi,ding,bu,yi)
一宿 (yi,xiu)
一尘不到 (yi,chen,bu,dao)
一尘不染 (yi,chen,bu,ran)
一差二错 (yi,cha,er,cuo)
一帆风顺 (yi,fan,feng,shun)
一幕 (yi,mu)
一年一度 (yi,nian,yi,du)
一年到头 (yi,nian,dao,tou)
一年半载 (yi,nian,ban,zai)
一年级 (yi,nian,ji)
一度 (yi,du)
一得 (yi,de)
一得之功 (yi,de,zhi,gong)
一得之愚 (yi,de,zhi,yu)
一得之见 (yi,de,zhi,jian)
一心一意 (yi,xin,yi,yi)
一心向往 (yi,xin,xiang,wang)
一念之差 (yi,nian,zhi,cha)
一念之间 (yi,nian,zhi,jian)
一怒之下 (yi,nu,zhi,xia)
一怔 (yi,zheng)
一意孤行 (yi,yi,gu,xing)
一成 (yi,cheng)
一成不变 (yi,cheng,bu,bian)
一成不易 (yi,cheng,bu,yi)
一扎 (yi,za)
一打 (yi,da)
一技之长 (yi,ji,zhi,chang)
一把子 (yi,ba,zi)
一抔黄沙 (yi,pou,huang,sha)
一报还一报 (yi,bao,huan,yi,bao)
一掊土 (yi,pou,tu)
一撮 (yi,zuo)
一文不值 (yi,wen,bu,zhi)
一方面 (yi,fang,mian)
一无可取 (yi,wu,ke,qu)
一无所得 (yi,wu,suo,de)
一无所有 (yi,wu,suo,you)
一无所知 (yi,wu,suo,zhi)
一无是处 (yi,wu,shi,chu)
一无长物 (yi,wu,chang,wu)
一日三省 (yi,ri,san,xing)
一日三秋 (yi,ri,san,qiu)
一旦 (yi,dan)
一时千载 (yi,shi,qian,zai)
一时半会儿 (yi,shi,ban,hui,er)
一时得逞 (yi,shi,de,cheng)
一时疏忽 (yi,shi,shu,hu)
一暴十寒 (yi,pu,shi,han)
一曝十寒 (yi,pu,shi,han)
一月 (yi,yue)
一服 (yi,fu)
一服药 (yi,fu,yao)
一望无垠 (yi,wang,wu,yin)
一望无涯 (yi,wang,wu,ya)
一望无际 (yi,wang,wu,ji)
一朝 (yi,zhao)
一朝一夕 (yi,zhao,yi,xi)
一朝之忿 (yi,zhao,zhi,fen)
一朝天子一朝臣 (yi,chao,tian,zi,yi,chao,chen)
一棍子打死 (yi,gun,zi,da,si)
一模一样 (yi,mu,yi,yang)
一次性 (yi,ci,xing)
一步一个脚印 (yi,bu,yi,ge,jiao,yin)
一步一步 (yi,bu,yi,bu)
一步步 (yi,bu,bu)
一步步地 (yi,bu,bu,de)
一毛不拔 (yi,mao,bu,ba)
一毫不差 (yi,hao,bu,cha)
一气之下 (yi,qi,zhi,xia)
一沓纸 (yi,da,zhi)
一沓钞票 (yi,da,chao,piao)
一波三折 (yi,bo,san,zhe)
一泻千里 (yi,xie,qian,li)
一派胡言 (yi,pai,hu,yan)
一派胡言乱语 (yi,pai,hu,yan,luan,yu)
一流 (yi,liu)
一清二楚 (yi,qing,er,chu)
一清宿弊 (yi,qing,su,bi)
一溜儿 (yi,liu,er)
一溜烟 (yi,liu,yan)
一溜烟跑掉 (yi,liu,yan,pao,diao)
一点 (yi,dian)
一点钟 (yi,dian,zhong)
一片散沙 (yi,pian,san,sha)
一片昏黑 (yi,pian,hun,hei)
一片混乱 (yi,pian,hun,luan)
一片空白 (yi,pian,kong,bai)
一物降一物 (yi,wu,xiang,yi,wu)
一现昙华 (yi,xian,tan,hua)
一生一世 (yi,sheng,yi,shi)
一百 (yi,bai)
一百二十行 (yi,bai,er,shi,hang)
一百亿 (yi,bai,yi)
一百八十度 (yi,bai,ba,shi,du)
一盘散沙 (yi,pan,san,sha)
一目了然 (yi,mu,liao,ran)
一目五行 (yi,mu,wu,hang)
一目十行 (yi,mu,shi,hang)
一目数行 (yi,mu,shu,hang)
一直 (yi,zhi)
一直走 (yi,zhi,zou)
一窍不通 (yi,qiao,bu,tong)
一笑了之 (yi,xiao,liao,zhi)
一笑了事 (yi,xiao,le,shi)
一笔抹摋 (yi,bi,mo,sa)
一笔抹煞 (yi,bi,mo,sha)
一等奖 (yi,deng,jiang)
一筹莫展 (yi,chou,mo,zhan)
一箭上垛 (yi,jian,shang,duo)
一篇文章 (yi,pian,wen,zhang)
一线之隔 (yi,xian,zhi,ge)
一缘一会 (yi,yuan,yi,hui)
一网打尽 (yi,wang,da,jin)
一而再 (yi,er,zai)
一肚子 (yi,du,zi)
一股劲 (yi,gu,jin)
一股劲儿 (yi,gu,jin,er)
一臂之力 (yi,bi,zhi,li)
一致 (yi,zhi)
一般 (yi,ban)
一般见识 (yi,ban,jian,shi)
一艘船 (yi,sou,chuan)
一见了然 (yi,jian,le,ran)
一见钟情 (yi,jian,zhong,qing)
一视同仁 (yi,shi,tong,ren)
一览无遗 (yi,lan,wu,yi)
一觉 (yi,jiao)
一言中的 (yi,yan,zhong,di)
一言为定 (yi,yan,wei,ding)
一言九鼎 (yi,yan,jiu,ding)
一言兴邦 (yi,yan,xing,bang)
一言半语 (yi,yan,ban,yu)
一言难尽 (yi,yan,nan,jin)
一语中的 (yi,yu,zhong,di)
一语破的 (yi,yu,po,di)
一诺千金 (yi,nuo,qian,jin)
一贫如洗 (yi,pin,ru,xi)
一贯 (yi,guan)
一走了之 (yi,zou,liao,zhi)
一起 (yi,qi)
一路平安 (yi,lu,ping,an)
一路神祇 (yi,lu,shen,qi)
一路顺风 (yi,lu,shun,feng)
一蹴而就 (yi,cu,er,jiu)
一蹶不兴 (yi,jue,bu,xing)
一蹶不振 (yi,jue,bu,zhen)
一边倒 (yi,bian,dao)
一还一报 (yi,huan,yi,bao)
一退六二五 (yi,tui,liu,er,wu)
一通 (yi,tong)
一邱之貉 (yi,qiu,zhi,he)
一重一掩 (yi,chong,yi,yan)
一针见血 (yi,zhen,jian,xie)
一钱不落虚空地 (yi,qian,bu,luo,xu,kong,di)
一隅 (yi,yu)
一隅之地 (yi,yu,zhi,di)
一隅之见 (yi,yu,zhi,jian)
一隅之说 (yi,yu,zhi,shuo)
一面 (yi,mian)
一面之缘 (yi,mian,zhi,yuan)
一面之识 (yi,mian,zhi,shi)
一面倒 (yi,mian,dao)
一鞭先著 (yi,bian,xian,zhuo)
一驮粮 (yi,duo,liang)
一骨碌 (yi,gu,lu)
一鸣惊人 (yi,ming,jing,ren)
丁点儿 (ding,dian,er)
七十二行 (qi,shi,er,hang)
七拱八翘 (qi,gong,ba,qiao)
七次量衣一次裁 (qi,ci,liang,yi,yi,ci,cai)
七行俱下 (qi,hang,ju,xia)
七返还丹 (qi,fan,huan,dan)
万俟 (mo,qi)
万别千差 (wan,bie,qian,cha)
万卷 (wan,juan)
万夫不当 (wan,fu,bu,dang)
万夫不当之勇 (wan,fu,bu,dang,zhi,yong)
万头攒动 (wan,tou,cuan,dong)
万应灵丹 (wan,ying,ling,dan)
万应锭 (wan,ying,ding)
万户侯 (wan,hu,hou)
万无一失 (wan,wu,yi,shi)
万箭攒心 (wan,jian,cuan,xin)
万象更新 (wan,xiang,geng,xin)
万贯家私 (wan,guan,ji,si)
万里长城 (wan,li,chang,cheng)
万里长征 (wan,li,chang,zheng)
丈量 (zhang,liang)
三不拗六 (san,bu,niu,liu)
三人为众 (san,ren,wei,zhong)
三十六行 (san,shi,liu,hang)
三占从二 (san,zhan,cong,er)
三句不离本行 (san,ju,bu,li,ben,hang)
三句话不离本行 (san,ju,hua,bu,li,ben,hang)
三只手 (san,zhi,shou)
三天两宿 (san,tian,liang,xiu)
三差两错 (san,cha,liang,cuo)
三差五错 (san,cha,wu,cuo)
三年五载 (san,nian,wu,zai)
三座大山 (san,zuo,tai,shan)
三徙成都 (san,xi,cheng,dou)
三战三北 (san,zhan,san,bei)
三折肱为良医 (san,zhe,gong,wei,liang,yi)
三更 (san,geng)
三灾八难 (san,zai,ba,nan)
三百六十行 (san,bai,liu,shi,hang)
三省吾身 (san,xing,wu,shen)
三色堇 (san,se,jin)
三藏 (san,zang)
三角裤衩 (san,jiao,ku,cha)
三重 (san,chong)
上供 (shang,gong)
上卷 (shang,juan)
上去 (shang,qu)
上吐下泻 (shang,tu,xia,xie)
上声 (shang,sheng)
上头 (shang,tou)
上将 (shang,jiang)
上岁数 (shang,sui,shu)
上当 (shang,dang)
上当学乖 (shang,dang,xue,guai)
上相 (shang,xiang)
上调 (shang,diao)
上铺 (shang,pu)
下不为例 (xia,bu,wei,li)
下乘 (xia,sheng)
下卷 (xia,juan)
下处 (xia,chu)
下头 (xia,tou)
下巴颏 (xia,ba,ke)
下调 (xia,diao)
下辈子 (xia,bei,zi)
下铺 (xia,pu)
不一会儿 (bu,yi,hui,er)
不一定 (bu,yi,ding)
不一样 (bu,yi,yang)
不三不四 (bu,san,bu,si)
不为五斗米折腰 (bu,wei,wu,dou,mi,zhe,yao)
不为人知 (bu,wei,ren,zhi)
不为名不为利 (bu,wei,ming,bu,wei,li)
不为已甚 (bu,wei,yi,shen)
不义 (bu,yi)
不义之财 (bu,yi,zhi,cai)
不了 (bu,liao)
不了不当 (bu,liao,bu,dang)
不了了之 (bu,liao,liao,zhi)
不了而了 (bu,liao,er,liao)
不亦乐乎 (bu,yi,le,hu)
不亦善夫 (bu,yi,shan,fu)
不亦说乎 (bu,yi,yue,hu)
不以为然 (bu,yi,wei,ran)
不以语人 (bu,yi,yu,ren)
不会 (bu,hui)
不但 (bu,dan)
不住 (bu,zhu)
不值识者一笑 (bu,zhi,shi,zhe,yi,xiao)
不兴 (bu,xing)
不切实际 (bu,qie,shi,ji)
不切题 (bu,qie,ti)
不到 (bu,dao)
不到位 (bu,dao,wei)
不到长城非好汉 (bu,dao,chang,cheng,fei,hao,han)
不到黄河心不死 (bu,dao,huang,he,xin,bu,si)
不务正业 (bu,wu,zheng,ye)
不动如山 (bu,dong,ru,shan)
不卑不亢 (bu,bei,bu,kang)
不厌其烦 (bu,yan,qi,fan)
不可奈何 (bu,ke,mai,he)
不可揆度 (bu,ke,kui,duo)
不可胜举 (bu,ke,sheng,ju)
不吝赐教 (bu,lin,ci,jiao)
不含糊 (bu,han,hu)
不在乎 (bu,zai,hu)
不堪一击 (bu,kan,yi,ji)
不声不吭 (bu,sheng,bu,keng)
不大方便 (bu,da,fang,bian)
不安分 (bu,an,fen)
不客气 (bu,ke,qi)
不寐 (bu,mei)
不对 (bu,dui)
不对劲 (bu,dui,jin)
不对头 (bu,dui,tou)
不对茬儿 (bu,dui,cha,er)
不屑 (bu,xie)
不屑一读 (bu,xie,yi,du)
不屑一顾 (bu,xie,yi,gu)
不屑于 (bu,xie,yu)
不屑意 (bu,xie,yi)
不屑教诲 (bu,xie,jiao,hui)
不屑毁誉 (bu,xie,hui,yu)
不差 (bu,cha)
不差上下 (bu,cha,shang,xia)
不差什么 (bu,cha,shi,mo)
不差毫厘 (bu,cha,hao,li)
不差毫发 (bu,cha,hao,fa)
不差累黍 (bu,cha,lei,shu)
不干 (bu,gan)
不干不净 (bu,gan,bu,jing)
不幸而言中 (bu,xing,er,yan,zhong)
不当 (bu,dang)
不当不正 (bu,dang,bu,zheng)
不当人子 (bu,dang,ren,zi)
不徇私情 (bu,xun,si,qing)
不得了 (bu,de,liao)
不得已而为之 (bu,de,yi,er,wei,zhi)
不必 (bu,bi)
不忘宿志 (bu,wang,su,zhi)
不忿 (bu,fen)
不怀好意 (bu,huai,hao,yi)
不悦 (bu,yue)
不惜一切代价 (bu,xi,yi,qie,dai,jia)
不愧 (bu,kui)
不愧下学 (bu,kui,xia,xue)
不愧不作 (bu,kui,bu,zuo)
不愧不怍 (bu,kui,bu,zuo)
不愧屋漏 (bu,kui,wu,lou)
不慎 (bu,shen)
不懈 (bu,xie)
不战而胜 (bu,zhan,er,sheng)
不战而降 (bu,zhan,er,xiang)
不拔一毛 (bu,ba,yi,mao)
不拘形迹 (bu,ju,xing,ji)
不揣冒昧 (bu,chuai,mao,mei)
不揪不睬 (bu,chou,bu,cai)
不敢为天下先 (bu,gan,wei,tian,xia,xian)
不敢越雷池一步 (bu,gan,yue,lei,chi,yi,bu)
不料 (bu,liao)
不易之论 (bu,yi,zhi,lun)
不是 (bu,shi)
不是冤家不聚头 (bu,shi,yuan,jia,bu,ju,tou)
不是味儿 (bu,shi,wei,er)
不根之谈 (bu,gan,zhi,tan)
